957 2939
287 292 48
405 830 701
370 161 760
32 901 505
266 819 501
297 620 176
577 824 78
647 920 119
170 446 273
782 856 639
184 328 186
356 615 121
947 694 817
660 685 960
278 152 757
856 768 994
17 237 199
200 201 30
106 196 585
794 645 882
265 658 647
900 909 838
92 13 204
704 47 220
171 659 758
245 585 406
243 591 973
240 352 306
225 186 433
718 916 947
630 423 913
132 921 888
453 775 461
122 665 686
547 606 319
948 548 777
392 343 381
46 606 766
29 168 643
340 668 516
210 511 550
115 58 706
80 779 125
901 53 359
564 747 357
956 536 628
887 844 21
781 671 124
31 945 109
358 570 713
308 731 44
842 155 745
395 897 886
120 547 90
329 575 696
593 385 196
15 927 141
748 84 901
643 27 697
523 213 190
674 59 696
644 170 902
217 908 412
121 539 23
589 91 756
936 820 877
584 869 178
879 276 109
748 733 990
595 241 547
871 779 61
504 637 419
268 685 222
263 508 729
561 512 283
952 695 802
656 50 619
885 488 260
8 862 435
96 559 435
593 384 377
369 383 818
250 602 109
711 177 495
868 75 101
619 32 881
762 749 957
90 925 9
822 498 913
424 27 172
713 854 624
820 935 991
491 374 734
475 832 331
502 617 74
115 951 487
257 526 275
885 529 507
146 894 844
57 366 515
278 331 93
747 218 800
785 227 144
42 922 904
11 5 403
63 617 86
226 420 928
943 82 595
140 31 433
801 193 392
34 937 32
325 142 69
637 406 284
389 385 197
158 667 495
579 262 839
547 50 632
308 467 797
167 391 404
328 417 852
386 646 552
708 378 959
695 357 709
885 263 255
394 439 633
746 903 982
272 767 82
856 684 53
50 883 313
520 692 341
7 418 467
494 582 551
110 585 191
510 690 342
77 730 522
761 145 692
81 261 238
176 355 656
740 170 574
715 379 967
740 473 796
418 629 342
789 708 344
361 712 370
23 679 822
341 437 181
128 304 757
713 47 411
577 207 436
953 841 291
12 672 621
714 589 738
652 427 656
566 99 341
584 917 646
873 1 40
635 594 473
443 309 77
46 314 467
528 932 745
403 611 993
840 719 337
491 40 173
374 17 81
561 456 322
555 110 785
398 350 421
748 55 806
175 288 300
816 559 877
225 277 495
748 162 637
441 70 481
510 308 979
67 376 856
709 532 489
52 445 326
329 145 549
858 672 351
721 669 123
659 62 51
935 707 618
525 253 591
440 100 687
609 490 449
574 40 166
630 579 917
114 721 122
121 941 87
737 716 790
633 645 475
44 38 524
105 639 199
305 390 639
184 778 568
177 208 765
614 655 122
347 633 407
7 738 707
388 707 616
360 525 902
501 630 718
740 25 641
940 64 917
310 147 708
772 121 959
482 770 237
332 660 993
511 919 608
692 240 536
338 56 799
492 584 9
939 911 618
775 64 10
43 161 293
728 951 31
223 748 239
105 899 261
682 776 357
625 948 385
376 399 851
406 809 950
580 936 450
203 549 875
774 204 594
691 708 430
576 678 417
252 780 987
692 905 144
229 915 784
626 450 529
727 462 484
7 376 868
95 466 845
22 850 226
255 385 500
895 273 285
83 490 735
362 693 394
453 811 973
657 519 583
381 941 378
542 288 763
200 297 75
623 673 727
312 482 102
354 767 430
456 726 570
457 133 244
9 518 422
18 662 686
