20
889 1664
125 230 321
293 433 75
231 119 559
773 536 545
610 839 565
320 379 898
614 506 796
558 148 906
440 299 711
399 712 357
122 864 709
108 297 242
53 353 130
483 280 441
784 431 905
469 709 567
38 604 481
542 346 648
253 765 876
173 452 260
792 614 70
675 850 344
94 816 140
831 273 120
485 199 37
363 858 772
655 793 976
193 35 343
242 405 621
307 39 413
858 97 820
549 842 203
819 339 946
289 813 248
817 685 574
481 876 900
375 144 729
631 749 231
242 69 209
485 449 299
883 593 894
508 494 169
168 29 343
338 770 140
645 336 99
170 93 793
482 8 357
843 691 83
273 75 106
557 81 542
544 173 423
416 693 596
37 873 311
365 843 476
473 55 518
14 360 353
166 674 524
314 599 770
642 825 696
691 620 809
297 220 253
423 613 632
811 649 437
44 374 24
455 693 248
137 311 838
382 855 247
322 256 322
574 731 374
775 538 915
647 756 363
784 255 28
776 37 957
434 158 872
366 875 774
185 541 238
825 133 413
867 632 764
486 402 983
821 441 26
715 338 187
451 438 267
8 104 830
733 563 143
740 814 58
205 175 286
664 727 374
881 684 71
96 419 785
823 858 68
43 173 353
681 408 484
480 594 831
283 564 760
89 402 469
526 373 368
661 63 458
272 428 975
24 608 373
27 878 877
605 163 136
320 509 654
77 437 191
444 307 849
618 107 713
563 30 196
696 154 657
539 512 318
346 636 119
694 107 435
94 507 71
863 698 34
682 432 974
705 102 994
520 222 945
719 827 444
428 269 114
598 128 163
313 512 348
864 363 119
868 73 272
328 792 291
797 753 207
601 819 69
188 869 981
542 59 252
576 700 355
247 161 718
263 582 386
452 653 158
207 499 616
337 782 864
769 372 540
452 154 810
91 685 978
494 30 448
668 255 307
670 358 555
823 545 109
797 293 366
799 171 584
184 123 793
746 813 395
252 89 171
742 866 954
646 883 1
352 849 644
617 828 900
397 619 466
666 201 881
735 210 290
151 121 541
482 589 77
682 604 509
785 142 765
588 180 595
60 814 67
302 365 816
163 678 480
100 250 863
1 557 800
547 397 418
94 215 410
458 440 279
408 330 408
377 877 498
726 196 73
818 328 727
411 408 188
448 692 321
28 161 55
650 598 748
404 492 492
497 310 572
249 16 853
471 742 713
871 353 822
443 563 194
186 751 488
484 781 658
57 153 222
790 238 924
752 207 91
461 843 758
551 344 176
397 817 303
515 724 17
372 403 474
702 756 890
144 470 288
422 629 74
111 471 435
3 528 383
94 721 153
10 222 846
301 128 635
315 329 519
415 609 692
732 307 272
372 826 189
513 851 643
765 877 555
695 655 305
666 609 659
401 671 888
763 485 290
356 593 292
361 412 160
871 195 385
635 651 779
163 443 467
70 872 469
609 513 564
443 434 494
716 207 967
832 116 183
103 61 983
829 694 47
226 815 652
300 266 617
398 592 769
735 865 420
510 713 636
421 142 872
422 70 887
696 855 101
232 243 410
681 724 353
